study_hours_per_day	exercise_frequency	focus_level	study_resources_availability	social_media_hours	mental_health_rating	test_anxiety_level	financial_stress_level	netflix_hours	academic_motivation	academic_self_efficacy	attendance_percentage	time_management	study_techniques_usage	procrastination_level	sleep_hours	home_study_environment	AcademicPerformance
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Estable	Moderada	Medio_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Media	Insuficiente	Adecuado	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Prolongado	Desfavorable	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Moderado	Optima	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Prolongado	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Escasos	Excesivo	Estable	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Activo	Concentrado	Suficientes	Moderado	Optima	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Concentrado	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Intensas	Activo	Concentrado	Escasos	Moderado	Optima	Moderada	Medio_Estres	Regular	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Concentrado	Escasos	Moderado	Estable	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Adecuado	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Escasos	Moderado	Estable	Moderada	Medio_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Insuficiente	Adecuado	Excelente
Intensas	Frecuente	Concentrado	Escasos	Ligero	Optima	Leve	Bajo_Estres	Regular	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Sedentario	Disperso	Escasos	Moderado	Estable	Severa	Medio_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Moderado	Delicada	Severa	Bajo_Estres	Poco	Limitada	Inseguro	Irregular	Caotico	Basico	Media	Normal	Adecuado	Satisfactorio
Cortas	Activo	Concentrado	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Cortas	Sedentario	Disperso	Escasos	Moderado	Optima	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Satisfactorio
Adecuadas	Frecuente	Concentrado	Suficientes	Ligero	Delicada	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Regular	Limitada	Confiado	Regular	Caotico	Basico	Media	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Disperso	Escasos	Ligero	Estable	Leve	Bajo_Estres	Poco	Limitada	Inseguro	Constante	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Suficientes	Moderado	Optima	Severa	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Optima	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Activo	Disperso	Escasos	Moderado	Estable	Severa	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Escasos	Ligero	Delicada	Severa	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Cortas	Frecuente	Concentrado	Escasos	Moderado	Estable	Severa	Bajo_Estres	Poco	Limitada	Inseguro	Constante	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Disperso	Escasos	Ligero	Optima	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Cortas	Frecuente	Disperso	Suficientes	Moderado	Estable	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Adecuado	Basico	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Concentrado	Escasos	Moderado	Delicada	Leve	Medio_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Intensas	Activo	Concentrado	Suficientes	Ligero	Estable	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Prolongado	Adecuado	Excelente
Intensas	Sedentario	Disperso	Escasos	Ligero	Delicada	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Estable	Moderada	Medio_Estres	Regular	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Intensas	Activo	Disperso	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Concentrado	Escasos	Moderado	Delicada	Severa	Bajo_Estres	Regular	Limitada	Inseguro	Regular	Adecuado	Basico	Controlada	Normal	Adecuado	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Moderado	Estable	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Disperso	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Suficientes	Ligero	Estable	Severa	Bajo_Estres	Regular	Limitada	Inseguro	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Moderado	Estable	Leve	Medio_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Disperso	Escasos	Ligero	Optima	Leve	Medio_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Escasos	Moderado	Optima	Severa	Bajo_Estres	Poco	Limitada	Confiado	Irregular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Intensas	Activo	Concentrado	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Regular	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Cortas	Frecuente	Concentrado	Suficientes	Moderado	Estable	Leve	Bajo_Estres	Regular	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Cortas	Activo	Disperso	Suficientes	Ligero	Optima	Severa	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Sedentario	Disperso	Escasos	Ligero	Estable	Leve	Medio_Estres	Regular	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Cortas	Activo	Disperso	Escasos	Moderado	Estable	Moderada	Medio_Estres	Poco	Limitada	Confiado	Constante	Adecuado	Intermedio	Controlada	Prolongado	Adecuado	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Cortas	Frecuente	Concentrado	Escasos	Moderado	Estable	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Cortas	Activo	Concentrado	Suficientes	Moderado	Estable	Severa	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Prolongado	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Suficientes	Moderado	Estable	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Estable	Leve	Medio_Estres	Poco	Limitada	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Insuficiente	Desfavorable	Excelente
Adecuadas	Sedentario	Concentrado	Suficientes	Moderado	Optima	Severa	Bajo_Estres	Poco	Media	Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Cortas	Sedentario	Concentrado	Suficientes	Ligero	Estable	Leve	Bajo_Estres	Poco	Limitada	Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Ligero	Estable	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Intermedio	Controlada	Prolongado	Desfavorable	Excelente
Adecuadas	Sedentario	Disperso	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Cortas	Activo	Disperso	Suficientes	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Irregular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Leve	Medio_Estres	Poco	Limitada	Muy_Confiado	Constante	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Moderado	Estable	Leve	Medio_Estres	Poco	Media	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Intensas	Sedentario	Disperso	Escasos	Ligero	Delicada	Severa	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Adecuadas	Sedentario	Disperso	Suficientes	Moderado	Estable	Leve	Bajo_Estres	Regular	Limitada	Confiado	Constante	Caotico	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Concentrado	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Media	Confiado	Constante	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Activo	Concentrado	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Activo	Concentrado	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Sedentario	Disperso	Escasos	Moderado	Estable	Severa	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Sedentario	Disperso	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Media	Confiado	Regular	Adecuado	Basico	Controlada	Normal	Adecuado	Excelente
Intensas	Frecuente	Disperso	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Cortas	Activo	Disperso	Escasos	Ligero	Delicada	Severa	Bajo_Estres	Regular	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Insuficiente	Adecuado	Satisfactorio
Cortas	Frecuente	Disperso	Suficientes	Moderado	Estable	Leve	Bajo_Estres	Regular	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Intensas	Activo	Concentrado	Escasos	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Prolongado	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Escasos	Moderado	Estable	Severa	Medio_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Satisfactorio
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Delicada	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Intensas	Frecuente	Disperso	Escasos	Ligero	Delicada	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Ligero	Delicada	Severa	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Intensas	Frecuente	Disperso	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Adecuado	Basico	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Sedentario	Concentrado	Escasos	Ligero	Optima	Leve	Bajo_Estres	Regular	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Estable	Leve	Bajo_Estres	Regular	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Intensas	Frecuente	Concentrado	Escasos	Ligero	Estable	Leve	Bajo_Estres	Poco	Media	Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Delicada	Severa	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Media	Insuficiente	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Estable	Severa	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Disperso	Suficientes	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Irregular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Intensas	Activo	Disperso	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Intensas	Frecuente	Disperso	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Media	Confiado	Regular	Caotico	Intermedio	Controlada	Insuficiente	Adecuado	Excelente
Adecuadas	Activo	Concentrado	Suficientes	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Confiado	Constante	Adecuado	Intermedio	Controlada	Prolongado	Adecuado	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Moderado	Delicada	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Concentrado	Escasos	Ligero	Optima	Severa	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Intensas	Frecuente	Disperso	Suficientes	Ligero	Delicada	Severa	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Regular	Media	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Concentrado	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Cortas	Activo	Concentrado	Escasos	Ligero	Estable	Moderada	Medio_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Severa	Bajo_Estres	Regular	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Insuficiente	Desfavorable	Satisfactorio
Intensas	Activo	Concentrado	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Regular	Limitada	Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Concentrado	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Cortas	Frecuente	Concentrado	Escasos	Ligero	Delicada	Leve	Medio_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Delicada	Leve	Bajo_Estres	Poco	Limitada	Inseguro	Irregular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Intensas	Activo	Concentrado	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Adecuado	Basico	Controlada	Prolongado	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Severa	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Satisfactorio
Intensas	Frecuente	Concentrado	Escasos	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Suficientes	Moderado	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Satisfactorio
Cortas	Activo	Disperso	Escasos	Ligero	Optima	Severa	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Adecuado	Intermedio	Controlada	Insuficiente	Desfavorable	Satisfactorio
Intensas	Activo	Concentrado	Escasos	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Intermedio	Controlada	Prolongado	Desfavorable	Excelente
Adecuadas	Activo	Concentrado	Suficientes	Moderado	Delicada	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Severa	Bajo_Estres	Regular	Limitada	Inseguro	Irregular	Caotico	Basico	Media	Normal	Adecuado	Satisfactorio
Intensas	Activo	Disperso	Suficientes	Moderado	Optima	Leve	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Concentrado	Suficientes	Moderado	Delicada	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Leve	Bajo_Estres	Regular	Limitada	Muy_Confiado	Regular	Caotico	Intermedio	Controlada	Normal	Desfavorable	Excelente
Intensas	Frecuente	Concentrado	Escasos	Ligero	Delicada	Severa	Bajo_Estres	Poco	Limitada	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Disperso	Escasos	Moderado	Optima	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Sedentario	Concentrado	Suficientes	Moderado	Estable	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Constante	Adecuado	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Activo	Concentrado	Escasos	Ligero	Optima	Leve	Medio_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Intensas	Activo	Disperso	Suficientes	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Irregular	Caotico	Basico	Controlada	Insuficiente	Adecuado	Satisfactorio
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Satisfactorio
Adecuadas	Activo	Disperso	Suficientes	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Confiado	Constante	Adecuado	Intermedio	Controlada	Insuficiente	Desfavorable	Excelente
Intensas	Sedentario	Concentrado	Suficientes	Moderado	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Poco	Media	Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Cortas	Activo	Disperso	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Cortas	Activo	Disperso	Escasos	Moderado	Estable	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Satisfactorio
Intensas	Frecuente	Concentrado	Escasos	Moderado	Estable	Moderada	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Caotico	Basico	Controlada	Prolongado	Desfavorable	Excelente
Cortas	Activo	Concentrado	Escasos	Ligero	Optima	Leve	Bajo_Estres	Regular	Media	Muy_Confiado	Constante	Caotico	Intermedio	Controlada	Prolongado	Adecuado	Excelente
Adecuadas	Activo	Concentrado	Suficientes	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Concentrado	Suficientes	Ligero	Optima	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Prolongado	Desfavorable	Excelente
Adecuadas	Frecuente	Disperso	Suficientes	Moderado	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Regular	Limitada	Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Delicada	Severa	Medio_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Media	Normal	Adecuado	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Ligero	Delicada	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Suficientes	Ligero	Estable	Moderada	Bajo_Estres	Regular	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Adecuadas	Frecuente	Concentrado	Escasos	Ligero	Estable	Leve	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Intensas	Activo	Disperso	Suficientes	Moderado	Delicada	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Adecuado	Basico	Controlada	Insuficiente	Desfavorable	Satisfactorio
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Moderada	Medio_Estres	Poco	Media	Inseguro	Regular	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Limitada	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Insuficiente	Desfavorable	Excelente
Adecuadas	Activo	Disperso	Suficientes	Moderado	Estable	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Intermedio	Controlada	Normal	Desfavorable	Excelente
Intensas	Activo	Disperso	Escasos	Moderado	Optima	Moderada	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Media	Normal	Desfavorable	Satisfactorio
Adecuadas	Activo	Concentrado	Escasos	Ligero	Optima	Leve	Bajo_Estres	Poco	Limitada	Confiado	Regular	Caotico	Basico	Controlada	Normal	Desfavorable	Excelente
Cortas	Frecuente	Concentrado	Escasos	Moderado	Delicada	Leve	Bajo_Estres	Regular	Limitada	Inseguro	Regular	Caotico	Intermedio	Controlada	Prolongado	Adecuado	Satisfactorio
Adecuadas	Frecuente	Disperso	Escasos	Ligero	Optima	Severa	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Concentrado	Escasos	Ligero	Estable	Severa	Bajo_Estres	Poco	Media	Confiado	Regular	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
